PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_TAVG,DAILY_PREC,DAILY_RHAVG,DAILY_RAD,DAILY_ET0_HS,DAILY_ET0_PM,DAILY_LEAFW,W_SCAL_INT
2019-01-01,1.0,7.6,3.9,0.0,39.6,350.0,0.6,0.7,2.0,1.1625
2019-01-02,-0.9,7.6,3.6,0.0,26.1,540.0,0.6,1.6,0.0,3.9167
2019-01-03,-3.2,3.6,-0.5,0.0,24.7,640.0,0.5,0.6,0.0,0.9875
2019-01-04,-3.5,4.1,-0.8,0.0,31.4,740.0,0.5,0.7,0.0,0.6833
2019-01-05,0.2,5.4,2.6,0.0,39.9,500.0,0.5,0.6,0.0,0.7042
2019-01-06,3.6,10.8,6.5,0.2,33.8,760.0,0.7,1.0,2.0,1.1667
2019-01-07,1.1,9.0,3.8,0.0,38.7,710.0,0.7,0.8,1.0,0.85
2019-01-08,0.6,3.5,2.4,0.0,64.4,190.0,0.4,0.4,2.0,0.9458
2019-01-09,-1.9,3.4,0.8,0.0,38.3,640.0,0.5,0.7,1.0,1.0917
2019-01-10,-3.9,2.7,-1.1,0.0,35.5,760.0,0.5,0.7,0.0,0.8375
2019-01-11,-4.6,3.2,-1.4,0.0,32.7,790.0,0.5,0.8,0.0,0.9208
2019-01-12,-2.3,7.4,1.6,0.0,41.8,660.0,0.7,0.7,0.0,1.0833
2019-01-13,0.1,7.3,3.6,0.0,54.0,740.0,0.6,0.8,1.0,1.2
2019-01-14,2.4,9.7,5.6,0.2,43.6,819.9999999999999,0.7,1.3,1.0,2.0792
2019-01-15,0.8,7.5,3.6,0.0,33.9,830.0000000000001,0.6,1.0,0.0,1.2708
2019-01-16,2.2,4.2,3.6,6.9,76.6,680.0,0.3,0.6,6.0,1.9125
2019-01-17,2.5,4.1,3.6,62.4,84.5,180.0,0.3,0.3,24.0,1.2125
2019-01-18,-1.5,5.0,1.1,0.2,62.4,540.0,0.6,0.8,3.0,2.2583
2019-01-19,-1.5,0.3,-0.6,0.2,84.4,370.0,0.3,0.4,4.0,0.9708
2019-01-20,-3.5,1.9,-1.2,0.0,81.7,490.00000000000006,0.5,0.4,7.0,0.5167
2019-01-21,-2.1,1.6,-0.9,0.0,73.8,370.0,0.4,0.5,0.0,1.2583
2019-01-22,-3.5,0.4,-2.0,0.0,60.4,480.0,0.4,0.5,0.0,1.0583
2019-01-23,-4.9,0.5,-2.7,0.3,80.3,220.00000000000003,0.4,0.4,3.0,1.5208
2019-01-24,-4.8,1.0,-1.7,2.5,69.2,840.0,0.5,0.8,7.0,2.7125
2019-01-25,-3.6,2.8,-1.2,0.3,44.3,890.0,0.6,0.9,6.0,0.9167
2019-01-26,-2.1,7.5,2.7,0.0,37.3,830.0000000000001,0.8,0.9,0.0,0.9417
2019-01-27,1.0,3.9,2.8,1.4,80.6,300.0,0.4,0.5,10.0,1.6833
2019-01-28,-1.0,4.5,0.9,1.1,47.5,670.0,0.6,0.8,3.0,0.9958
2019-01-29,-2.2,5.5,0.4,0.2,43.2,1010.0,0.7,1.0,1.0,0.7708
2019-01-30,-5.1,-0.6,-2.5,0.3,84.7,220.00000000000003,0.4,0.3,11.0,0.8042
2019-01-31,-7.5,1.3,-2.1,5.7,75.4,229.99999999999997,0.6,0.3,12.0,0.4958
2019-02-01,-2.5,6.1,2.7,140.6,75.7,170.0,0.8,0.4,19.0,0.8625
2019-02-02,-0.5,5.4,2.3,24.6,89.8,350.0,0.7,0.4,24.0,0.4792
2019-02-03,-0.7,2.7,1.0,11.7,85.7,330.0,0.5,0.4,20.0,1.1792
2019-02-04,-0.4,4.5,1.7,0.5,70.8,910.0,0.6,1.0,5.0,2.0417
2019-02-05,-1.3,6.5,2.3,0.2,51.9,1100.0,0.8,1.2,1.0,1.3667
2019-02-06,1.0,9.4,4.3,0.0,33.4,1140.0,1.0,1.4,1.0,0.9917
2019-02-07,-0.1,8.0,3.1,0.0,43.2,900.0,0.9,1.2,0.0,1.0708
2019-02-08,0.2,9.7,3.5,0.2,52.9,1120.0,1.1,1.3,2.0,0.7583
2019-02-09,0.2,5.1,3.6,3.2,76.0,980.0000000000001,0.7,1.0,10.0,1.325
2019-02-10,1.7,5.8,4.6,15.3,84.5,240.0,0.7,0.4,23.0,1.775
